Taxa ID,Sequence count,Genus,Species
1278306,82,Fusobacterium,Fusobacterium russii
1280,230,Staphylococcus,Staphylococcus aureus
1281,6,Staphylococcus,Staphylococcus carnosus
1282,47,Staphylococcus,Staphylococcus epidermidis
1283,24,Staphylococcus,Staphylococcus haemolyticus
1286,3,Staphylococcus,Staphylococcus simulans
1287640,2,Anaerococcus,Anaerococcus obesiensis
1290,54,Staphylococcus,Staphylococcus hominis
1292,5,Staphylococcus,Staphylococcus warneri
1294177,1,Parechovirus,Parechovirus C
1295563,12,Enterovirus,Enterovirus C
1296,2,Mammaliicoccus,Mammaliicoccus sciuri
1297750,76,Bacteroides,Bacteroides luti
129875,2,Mastadenovirus,Human mastadenovirus A
129951,1,Mastadenovirus,Human mastadenovirus C
1302,5,Streptococcus,Streptococcus gordonii
1303,6,Streptococcus,Streptococcus oralis
130309,1,Mastadenovirus,Human mastadenovirus F
130310,1,Mastadenovirus,Human mastadenovirus D
1304,3,Streptococcus,Streptococcus salivarius
1305,1,Streptococcus,Streptococcus sanguinis
1307443,4,Fusobacterium,Fusobacterium hwasookii
1309,5,Streptococcus,Streptococcus mutans
1311,15,Streptococcus,Streptococcus agalactiae
1313,4,Streptococcus,Streptococcus pneumoniae
1314,10,Streptococcus,Streptococcus pyogenes
1319,1,Streptococcus,Streptococcus sp. 'group B'
1324352,2,Chryseobacterium,Chryseobacterium gallinarum
1328,2,Streptococcus,Streptococcus anginosus
1334,10,Streptococcus,Streptococcus dysgalactiae
1335,2,Streptococcus,Streptococcus equinus
133549,1,Mycobacterium,Mycobacterium shottsii
1335626,1,Betacoronavirus,Middle East respiratory syndrome-related coronavirus
13373,13,Burkholderia,Burkholderia mallei
1338,2,Streptococcus,Streptococcus intermedius
134034,1,Corynebacterium,Corynebacterium freneyi
134537,7,Paraburkholderia,Paraburkholderia fungorum
134601,1,Mycolicibacterium,Mycolicibacterium goodii
1347393,36,Bacteroides,Bacteroides neonati
1351,16,Enterococcus,Enterococcus faecalis
1352,38,Enterococcus,Enterococcus faecium
1353,3,Enterococcus,Enterococcus gallinarum
1353889,2,Achromobacter,Achromobacter pestifer
1353891,1,Achromobacter,Achromobacter deleyi
1354,14,Enterococcus,Enterococcus hirae
1358,17,Lactococcus,Lactococcus lactis
1363,13,Lactococcus,Lactococcus garvieae
13689,8,Sphingomonas,Sphingomonas paucimobilis
1376,1,Aerococcus,Aerococcus urinae
1377,1,Aerococcus,Aerococcus viridans
1379,1,Gemella,Gemella haemolysans
1388691,112,Staphylococcus,Staphylococcus aureus
138948,15,Enterovirus,Enterovirus A
138949,16,Enterovirus,Enterovirus B
138950,33,Enterovirus,Enterovirus C
138951,42,Enterovirus,Enterovirus D
1389713,5,Mycobacterium,Mycobacterium paragordonae
139,12,Borreliella,Borreliella burgdorferi
1391,132,Aneurinibacillus,Aneurinibacillus aneurinilyticus
1392,30,Bacillus,Bacillus anthracis
1395125,64,Segatella,Segatella salivae
1396,34,Bacillus,Bacillus cereus
1397,5,Niallia,Niallia circulans
1398,1,Heyndrickxia,Heyndrickxia coagulans
1398067,76,Staphylococcus,Staphylococcus aureus
1402,5,Bacillus,Bacillus licheniformis
1405,4,Bacillus,Bacillus mycoides
1407,2,Peribacillus,Peribacillus psychrosaccharolyticus
1408439,50,Fusobacterium,Fusobacterium perfoetens
1409,4,Bacillus,Bacillus sp. (in: firmicutes)
1410666,44,Xylanibacter,Xylanibacter brevis
1411144,508,Bacteroides,Bacteroides caecigallinarum
1412673,26,Staphylococcus,Staphylococcus aureus
1412756,24,Staphylococcus,Staphylococcus aureus
1418031,1,Enterovirus,Rhinovirus C
1418033,18,Enterovirus,Rhinovirus C
1418041,9,Enterovirus,Rhinovirus C
1418042,1,Enterovirus,Rhinovirus C
1418043,2,Enterovirus,Rhinovirus C
1418062,44,Enterovirus,Rhinovirus C
1421888,34,Staphylococcus,Staphylococcus aureus
1423,1,Bacillus,Bacillus subtilis
1423734,188,Agrilactobacillus,Agrilactobacillus composti
1424613,3,Orthohantavirus,Orthohantavirus thailandense
1428,45,Bacillus,Bacillus thuringiensis
1430326,142,Mycobacterium,Mycobacterium decipiens
143387,70,Fusobacterium,Fusobacterium necrophorum
1435148,2,Enterovirus,Enterovirus A
1462569,142,Bacteroides,Bacteroides caecicola
1462571,424,Bacteroides,Bacteroides gallinaceum
1463165,10,Klebsiella,Klebsiella quasipneumoniae
1470345,422,Bacteroides,Bacteroides timonensis
147645,13,Paracoccus,Paracoccus yeei
147672,8,Enterovirus,Rhinovirus A
147675,14,Enterovirus,Rhinovirus A
147676,1,Enterovirus,Rhinovirus A
147677,4,Enterovirus,Rhinovirus B
147681,83,Enterovirus,Rhinovirus B
147683,1,Enterovirus,Rhinovirus B
147684,4,Enterovirus,Rhinovirus A
147685,39,Enterovirus,Rhinovirus A
147711,12,Enterovirus,Rhinovirus A
147712,9,Enterovirus,Rhinovirus B
1487726,71,Mycobacterium,Mycobacterium persicum
149385,4,Salmonella,Salmonella enterica
1496,22,Clostridioides,Clostridioides difficile
150055,2,Streptococcus,Streptococcus lutetiensis
150056,1,Mammaliicoccus,Mammaliicoccus fleurettii
1502,11,Clostridium,Clostridium perfringens
1509,9,Clostridium,Clostridium sporogenes
1511882,1,Bocaparvovirus,Bocaparvovirus primate2
1511883,1,Bocaparvovirus,Bocaparvovirus primate2
152142,353,Mycolicibacterium,Mycolicibacterium holsaticum
152480,8,Burkholderia,Burkholderia ambifaria
152500,9,Burkholderia,Burkholderia dolosa
1530123,1,Acinetobacter,Acinetobacter seifertii
1531,1,Enterocloster,Enterocloster clostridioformis
1547,3,Thomasclavelia,Thomasclavelia ramosa
1552759,2,Mycolicibacterium,Mycolicibacterium grossiae
1563222,3,Citrobacter,Citrobacter pasteurii
156976,1,Corynebacterium,Corynebacterium riegelii
158822,2,Cedecea,Cedecea neteri
158836,15,Enterobacter,Enterobacter hormaechei
1602169,176,Prevotella,Prevotella pectinovora
161879,3,Corynebacterium,Corynebacterium kroppenstedtii
1620419,6,Salmonella,Salmonella enterica
162145,1,Metapneumovirus,Metapneumovirus hominis
162425,91,Aspergillus,Aspergillus nidulans
1630135,1,Dermabacter,Dermabacter vaginalis
1639,14,Listeria,Listeria monocytogenes
1639133,6,Citrobacter,Citrobacter portucalensis
1642,5,Listeria,Listeria innocua
1643,1,Listeria,Listeria welshimeri
1655,1,Actinomyces,Actinomyces naeslundii
1660,1,Schaalia,Schaalia odontolytica
167322,1,Enterovirus,Rhinovirus A
167324,5,Enterovirus,Rhinovirus A
167325,4,Enterovirus,Rhinovirus B
167330,1,Enterovirus,Rhinovirus B
1676614,170,Xylanibacter,Xylanibacter rarus
1685,1,Bifidobacterium,Bifidobacterium breve
169066,1,Enterovirus,Human rhinovirus sp.
169292,4,Corynebacterium,Corynebacterium aurimucosum
169765,1,Mycobacterium,Mycobacterium lacus
1702170,1,Citrobacter,Citrobacter sp. FDAARGOS_156
1702171,1,Streptococcus,Streptococcus sp. FDAARGOS_146
1703337,122,Hallella,Hallella colorans
170573,3,Staphylococcus,Staphylococcus pettenkoferi
1717,1,Corynebacterium,Corynebacterium diphtheriae
1719132,1,Mycobacterium,Mycobacterium vicinigordonae
172042,1,Rothia,Rothia aeria
172314,1,Parechovirus,Parechovirus B
1725,5,Corynebacterium,Corynebacterium xerosis
1747,2,Cutibacterium,Cutibacterium acnes
1750,1,Arachnia,Arachnia propionica
175567,1,Mastadenovirus,Human mastadenovirus E
1756149,1,Elizabethkingia,Elizabethkingia bruuniana
1768,2,Mycobacterium,Mycobacterium kansasii
1769,1,Mycobacterium,Mycobacterium leprae
1770,1,Mycobacterium,Mycobacterium avium
1772,3,Mycolicibacterium,Mycolicibacterium smegmatis
1773,5,Mycobacterium,Mycobacterium tuberculosis
1775,1,Mycobacterium,Mycobacterium cookii
1776379,54,Leyella,Leyella lascolaii
1776388,24,Prevotella,Prevotella phocaeensis
1777,154,Mycobacterium,Mycobacterium gastri
1778,260,Mycobacterium,Mycobacterium gordonae
1780,115,Mycobacterium,Mycobacterium malmoense
1781,1,Mycobacterium,Mycobacterium marinum
1783,184,Mycobacterium,Mycobacterium scrofulaceum
1787,178,Mycobacterium,Mycobacterium szulgai
1789,21,Mycobacterium,Mycobacterium xenopi
1790,10,Mycobacterium,Mycobacterium asiaticum
1795032,128,Mycolicibacter,Mycolicibacter virginiensis
1796,1,Mycolicibacterium,Mycolicibacterium senegalense
1796613,2,Bacteroides,Bacteroides caecimuris
1801,52,Mycolicibacterium,Mycolicibacterium diernhoferi
1803956,1,Parechovirus,Parechovirus A
1809,5,Mycobacterium,Mycobacterium ulcerans
1812935,14,Enterobacter,Enterobacter roggenkampii
182082,1,Chlamydia,Chlamydia pneumoniae
1824,2,Nocardia,Nocardia asteroides
1839798,4,Bacillus,Bacillus sp. FDAARGOS_235
1839799,3,Streptococcus,Streptococcus sp. FDAARGOS_192
1839800,1,Yersinia,Yersinia sp. FDAARGOS_228
1841855,40,Bacteroides,Bacteroides bouchesdurhonensis
1841856,36,Bacteroides,Bacteroides mediterraneensis
1841859,12,Mycobacterium,Mycobacterium terramassiliense
1841860,1,Mycobacterium,Mycobacterium rhizamassiliense
1841861,4,Mycobacterium,Mycobacterium numidiamassiliense
1852362,12,Bacteroides,Bacteroides ihuae
1852365,12,Fusobacterium,Fusobacterium massiliense
1858794,381,Mycobacterium,Mycobacterium talmoniae
185889,2,Enterovirus,Rhinovirus B
185891,5,Enterovirus,Rhinovirus A
185893,4,Enterovirus,Rhinovirus A
185894,2,Enterovirus,Rhinovirus A
185896,8,Enterovirus,Rhinovirus A
185897,19,Enterovirus,Rhinovirus A
185898,29,Enterovirus,Rhinovirus A
185900,15,Enterovirus,Rhinovirus B
185901,17,Enterovirus,Rhinovirus A
185902,13,Enterovirus,Rhinovirus A
185905,2,Enterovirus,Rhinovirus A
185907,38,Enterovirus,Rhinovirus A
185908,2,Enterovirus,Rhinovirus A
185909,1,Enterovirus,Rhinovirus A
185911,5,Enterovirus,Rhinovirus A
185912,1,Enterovirus,Rhinovirus A
185913,3,Enterovirus,Rhinovirus A
185914,7,Enterovirus,Rhinovirus A
185916,1,Enterovirus,Rhinovirus A
185917,1,Enterovirus,Rhinovirus A
185918,5,Enterovirus,Rhinovirus A
185919,6,Enterovirus,Rhinovirus A
185920,11,Enterovirus,Rhinovirus A
185921,2,Enterovirus,Rhinovirus A
185923,6,Enterovirus,Rhinovirus A
185924,14,Enterovirus,Rhinovirus A
185925,2,Enterovirus,Rhinovirus A
185926,3,Enterovirus,Rhinovirus B
185928,1,Enterovirus,Rhinovirus A
185934,12,Enterovirus,Rhinovirus A
185935,3,Enterovirus,Rhinovirus A
185936,1,Enterovirus,Rhinovirus B
185937,3,Enterovirus,Rhinovirus A
185938,3,Enterovirus,Rhinovirus B
185939,1,Enterovirus,Rhinovirus A
185941,3,Enterovirus,Rhinovirus A
1871006,22,Bacteroides,Bacteroides congonensis
1876769,8,Acinetobacter,Acinetobacter sp. FDAARGOS_131
1891762,1,Betapolyomavirus,Betapolyomavirus hominis
1903262,28,Bacteroides,Bacteroides ndongoniae
1907658,28,Bacteroides,Bacteroides ilei
1908205,93,Mycobacterium,Mycobacterium syngnathidarum
1912894,204,Bacteroides,Bacteroides kribbi
1912896,202,Bacteroides,Bacteroides koreensis
1917878,38,Prevotella,Prevotella ihumii
1917883,46,Bacteroides,Bacteroides togonis
1927124,111,Mycobacterium,Mycobacterium aquaticum
1930557,2,Shewanella,Shewanella sp. FDAARGOS_354
1930558,1,Micrococcus,Micrococcus sp. FDAARGOS_333
195,15,Campylobacter,Campylobacter coli
197,9,Campylobacter,Campylobacter jejuni
1975705,1,Psychrobacter,Psychrobacter sp. FDAARGOS_221
1975706,2,Streptococcus,Streptococcus sp. FDAARGOS_256
1975707,6,Pantoea,Pantoea sp. FDAARGOS_194
197575,1,Haemophilus,Haemophilus aegyptius
1979527,2,Corynebacterium,Corynebacterium kefirresidentii
1980468,2,,
200154,2,Enterovirus,Enterovirus B
201,1,Campylobacter,Campylobacter lari
2015550,2,Enterovirus,Enterovirus D
2018065,8,Roseomonas,Roseomonas sp. FDAARGOS_362
2018066,2,Nocardia,Nocardia sp. FDAARGOS_372
2018067,1,Pseudomonas,Pseudomonas sp. FDAARGOS_380
2024197,48,Bacteroides,Bacteroides cutis
2026188,8,Bacillus,Bacillus tropicus
2027919,1,Enterobacter,Enterobacter cloacae complex sp.
203267,2,Tropheryma,Tropheryma whipplei
2032983,7,Enterovirus,Rhinovirus C
2034511,210,Mycolicibacterium,Mycolicibacterium palauense
2035045,1,Enterovirus,Rhinovirus C
2045067,1,Enterovirus,Rhinovirus C
2045069,2,Enterovirus,Rhinovirus C
2045070,1,Enterovirus,Rhinovirus C
2045073,3,Enterovirus,Rhinovirus C
2045074,6,Enterovirus,Rhinovirus C
2045075,4,Enterovirus,Rhinovirus C
2045078,1,Enterovirus,Rhinovirus C
2045079,12,Enterovirus,Rhinovirus C
2047,1,Rothia,Rothia dentocariosa
2048550,69,Mycobacterium,Mycobacterium lehmannii
2048551,58,Mycobacterium,Mycobacterium neumannii
2051,2,Mobiluncus,Mobiluncus curtisii
2052,5,Mobiluncus,Mobiluncus mulieris
2054,3,Gordonia,Gordonia bronchialis
2054153,10553,Mucor,Mucor circinatus
2060307,3,Enterococcus,Enterococcus sp. FDAARGOS_375
207340,5,Roseomonas,Roseomonas mucosa
208479,2,Enterocloster,Enterocloster bolteae
2094116,14,Enterovirus,Rhinovirus C
2094119,1,Mycobacterium,Mycobacterium basiliense
210,5,Helicobacter,Helicobacter pylori
2104,2,Mycoplasmoides,Mycoplasmoides pneumoniae
2124,1,Metamycoplasma,Metamycoplasma salivarium
215200,24,Peptostreptococcus,Peptostreptococcus russellii
2152662,1,Enterovirus,Enterovirus A
2162698,54,Mycobacterium,Mycobacterium uberis
217204,2,Achromobacter,Achromobacter insolitus
218496,2,Tropheryma,Tropheryma whipplei
2201033,6,Staphylococcus,Staphylococcus sp. FDAARGOS_39
2212479,132,Mycobacterium,Mycobacterium kyogaense
222889,1,Enterovirus,Enterovirus B
227377,2,Coxiella,Coxiella burnetii
227984,1,Betacoronavirus,Severe acute respiratory syndrome-related coronavirus
2341080,2,Mycobacterium,Mycobacterium pseudokansasii
2341083,361,Mycobacterium,Mycobacterium innocens
2341086,196,Mycobacterium,Mycobacterium attenuatum
24,1,Shewanella,Shewanella putrefaciens
2420300,4,Acinetobacter,Acinetobacter sp. FDAARGOS_493
2420301,2,Acinetobacter,Acinetobacter sp. FDAARGOS_494
2420302,6,Acinetobacter,Acinetobacter sp. FDAARGOS_495
2420303,8,Acinetobacter,Acinetobacter sp. FDAARGOS_558
2420304,7,Acinetobacter,Acinetobacter sp. FDAARGOS_559
2420305,3,Acinetobacter,Acinetobacter sp. FDAARGOS_560
2420306,2,Serratia,Serratia sp. FDAARGOS_506
2420307,4,Acinetobacter,Acinetobacter sp. FDAARGOS_515
2420308,1,Streptococcus,Streptococcus sp. FDAARGOS_520
2420309,1,Streptococcus,Streptococcus sp. FDAARGOS_521
2420310,1,Streptococcus,Streptococcus sp. FDAARGOS_522
2420311,8,Agrobacterium,Agrobacterium sp. FDAARGOS_525
2420312,4,Acinetobacter,Acinetobacter sp. FDAARGOS_541
2420313,3,Enterococcus,Enterococcus sp. FDAARGOS_553
242737,123,Mycobacterium,Mycobacterium neglectum
243273,1,Mycoplasmoides,Mycoplasmoides genitalium
2434,3,Roseobacter,Roseobacter denitrificans
244292,175,Mycobacterium,Mycobacterium nebraskense
244366,11,Klebsiella,Klebsiella variicola
2447885,106,Bacteroides,Bacteroides faecalis
246432,15,Staphylococcus,Staphylococcus equorum
246437,1,Tupaia,Tupaia chinensis
246787,9,Bacteroides,Bacteroides cellulosilyticus
2479840,46,Prevotella,Prevotella marseillensis
2487725,1,Enterovirus,Enterovirus B
2488567,5,Klebsiella,Klebsiella sp. FDAARGOS_511
2490854,4,Prevotella,Prevotella koreensis
2492438,1,Mycobacterium,Mycobacterium novum
250,1,Chryseobacterium,Chryseobacterium gleum
2508867,228,Prevotella,Prevotella brunnea
2518605,292,Segatella,Segatella hominis
253,5,Chryseobacterium,Chryseobacterium indologenes
2545797,5,Acinetobacter,Acinetobacter sp. FDAARGOS_724
2545798,1,Cedecea,Cedecea sp. FDAARGOS_727
2545799,1,Capnocytophaga,Capnocytophaga sp. FDAARGOS_737
2545800,1,Pseudomonas,Pseudomonas sp. FDAARGOS_761
2555550,3,Enterovirus,Rhinovirus C
256,2,Myroides,Myroides odoratus
2560525,1,Orthorubulavirus,Orthorubulavirus laryngotracheitidis
2560602,1,Orthorubulavirus,Orthorubulavirus parotitidis
2576356,9,Bacillus,Bacillus sp. FDAARGOS_527
258,4,Sphingobacterium,Sphingobacterium spiritivorum
2592811,387,Mycobacterium,Mycobacterium helveticum
2606637,216,Hallella,Hallella mizrahii
261524,2,Mycobacterium,Mycobacterium liflandii
263,10,Francisella,Francisella tularensis
2650157,132,Bacteroides,Bacteroides zhangwenhongii
2650158,2,Bacteroides,Bacteroides luhongzhouii
2650411,11,Enterovirus,Enterovirus C
2652282,22,Peptostreptococcus,Peptostreptococcus porci
265949,1,Mycobacterium,Mycobacterium pseudoshottsii
2663009,2,Fusobacterium,Fusobacterium pseudoperiodonticum
2691036,2,Enterovirus,Enterovirus C
2697049,1,Betacoronavirus,Severe acute respiratory syndrome-related coronavirus
2702,3,Gardnerella,Gardnerella vaginalis
272561,1,Chlamydia,Chlamydia trachomatis
273371,8,Candida,Candida orthopsilosis
2738409,187,Mycobacterium,Mycobacterium ostraviense
2741,58,Peptococcus,Peptococcus niger
2749421,1,Enterovirus,Enterovirus C
2760809,2,Enterovirus,Enterovirus A
2760813,2,Enterovirus,Enterovirus B
2760819,3,Enterovirus,Enterovirus C
2760820,3,Enterovirus,Enterovirus C
2766470,4,Leuconostoc,Leuconostoc falkenbergense
2777131,1,Enterovirus,Rhinovirus C
2777132,4,Enterovirus,Rhinovirus C
2777136,4,Enterovirus,Rhinovirus B
2777137,2,Enterovirus,Rhinovirus B
2777143,4,Enterovirus,Rhinovirus A
2777147,258,Enterovirus,Rhinovirus A
2778051,4,Aeromonas,Aeromonas sp. FDAARGOS 1402
2778052,1,Aeromonas,Aeromonas sp. FDAARGOS 1403
2778053,1,Aeromonas,Aeromonas sp. FDAARGOS 1404
2778054,3,Aeromonas,Aeromonas sp. FDAARGOS 1405
2778055,1,Aeromonas,Aeromonas sp. FDAARGOS 1406
2778056,2,Aeromonas,Aeromonas sp. FDAARGOS 1407
2778057,1,Aeromonas,Aeromonas sp. FDAARGOS 1408
2778058,1,Aeromonas,Aeromonas sp. FDAARGOS 1409
2778059,2,Aeromonas,Aeromonas sp. FDAARGOS 1410
2778060,1,Aeromonas,Aeromonas sp. FDAARGOS 1411
2778063,1,Aeromonas,Aeromonas sp. FDAARGOS 1414
2778064,2,Aeromonas,Aeromonas sp. FDAARGOS 1415
2778065,1,Aeromonas,Aeromonas sp. FDAARGOS 1416
2778066,2,Aeromonas,Aeromonas sp. FDAARGOS 1417
2778067,1,Aeromonas,Aeromonas sp. FDAARGOS 1418
2778068,1,Aeromonas,Aeromonas sp. FDAARGOS 1419
2778070,2,Amycolatopsis,Amycolatopsis sp. FDAARGOS 1241
2778077,1,Chryseobacterium,Chryseobacterium sp. FDAARGOS 1104
2778078,2,Corynebacterium,Corynebacterium sp. FDAARGOS 1242
2778082,2,Rhodanobacter,Rhodanobacter sp. FDAARGOS 1247
277944,1,Alphacoronavirus,Human coronavirus NL63
2800387,278,Prevotella,Prevotella illustrans
28035,6,Staphylococcus,Staphylococcus lugdunensis
28037,2,Streptococcus,Streptococcus mitis
28045,81,Mycobacterium,Mycobacterium celatum
28080,2,Campylobacter,Campylobacter upsaliensis
28082,8,Legionella,Legionella anisa
28090,37,Acinetobacter,Acinetobacter lwoffii
28095,13,Burkholderia,Burkholderia gladioli
28111,67,Bacteroides,Bacteroides eggerthii
28113,2,Bacteroides,Bacteroides heparinolyticus
28116,4,Bacteroides,Bacteroides ovatus
28119,2,Bacteroides,Bacteroides zoogleoformans
28126,6,Segatella,Segatella buccae
28129,6,Prevotella,Prevotella denticola
28130,12,Prevotella,Prevotella disiens
28131,4,Prevotella,Prevotella intermedia
28132,4,Prevotella,Prevotella melaninogenica
28133,8,Prevotella,Prevotella nigrescens
28135,2,Segatella,Segatella oris
28141,6,Cronobacter,Cronobacter sakazakii
28152,1,Yersinia,Yersinia kristensenii
28169,6,Vibrio,Vibrio pelagius
282345,8,Enterovirus,Enterovirus B
282402,4,Prevotella,Prevotella multiformis
283734,3,Staphylococcus,Staphylococcus pseudintermedius
28450,8,Burkholderia,Burkholderia pseudomallei
28454,8,Sphingobacterium,Sphingobacterium multivorum
2856338,8,Bacillus,Bacillus sp. FDAARGOS_1420
285729,4,Fusobacterium,Fusobacterium canifelinum
287,22,Pseudomonas,Pseudomonas aeruginosa
28875,11,Rotavirus,Rotavirus A
28901,65,Salmonella,Salmonella enterica
290028,1,Betacoronavirus,Human coronavirus HKU1
291644,38,Bacteroides,Bacteroides salyersiae
291645,3,Bacteroides,Bacteroides nordii
292,8,Burkholderia,Burkholderia cepacia
293,1,Brevundimonas,Brevundimonas diminuta
29311,1,Mycobacterium,Mycobacterium haemophilum
29313,6,Mycobacterium,Mycobacterium shimoidei
29347,1,Lachnoclostridium,[Clostridium] scindens
29379,1,Staphylococcus,Staphylococcus auricularis
29382,15,Staphylococcus,Staphylococcus cohnii
29385,12,Staphylococcus,Staphylococcus saprophyticus
29388,10,Staphylococcus,Staphylococcus capitis
29391,1,Gemella,Gemella morbillorum
294,1,Pseudomonas,Pseudomonas fluorescens
29430,4,Acinetobacter,Acinetobacter haemolyticus
29466,1,Veillonella,Veillonella parvula
29484,2,Yersinia,Yersinia frederiksenii
29489,1,Aeromonas,Aeromonas enteropelogenes
29494,3,Vibrio,Vibrio furnissii
297248,6,Enterovirus,Enterovirus A
29924,23,Mucor,Mucor lusitanicus
299767,2,Enterobacter,Enterobacter ludwigii
