taxid,contig_count,total_bp,Name,Rank,FullLineage,FullLineageTaxIDs,FullLineageRanks
287.0,22,82677196,Pseudomonas aeruginosa,species,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;Pseudomonas aeruginosa,131567;2;1224;1236;72274;135621;286;136841;287,no rank;superkingdom;phylum;class;order;family;genus;species group;species
1392.0,30,73487927,Bacillus anthracis,species,cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus group;Bacillus anthracis,131567;2;1783272;1239;91061;1385;186817;1386;86661;1392,no rank;superkingdom;clade;phylum;class;order;family;genus;species group;species
87883.0,37,72264596,Burkholderia multivorans,species,cellular organisms;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia cepacia complex;Burkholderia multivorans,131567;2;1224;28216;80840;119060;32008;87882;87883,no rank;superkingdom;phylum;class;order;family;genus;species group;species
57975.0,22,67458599,Burkholderia thailandensis,species,cellular organisms;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;pseudomallei group;Burkholderia thailandensis,131567;2;1224;28216;80840;119060;32008;111527;57975,no rank;superkingdom;phylum;class;order;family;genus;species group;species
559297.0,27,66608683,Blastomyces dermatitidis ER-3,strain,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Onygenales;Ajellomycetaceae;Blastomyces;Blastomyces dermatitidis;Blastomyces dermatitidis ER-3,131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451871;33183;299071;229219;5039;559297,no rank;superkingdom;clade;kingdom;subkingdom;phylum;clade;subphylum;clade;class;subclass;order;family;genus;species;strain
508771.0,2263,65633124,Toxoplasma gondii ME49,strain,cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Conoidasida;Coccidia;Eucoccidiorida;Eimeriorina;Sarcocystidae;Toxoplasma;Toxoplasma gondii;Toxoplasma gondii ME49,131567;2759;2698737;33630;5794;1280412;5796;75739;423054;5809;5810;5811;508771,no rank;superkingdom;clade;clade;phylum;class;subclass;order;suborder;family;genus;species;strain
1357677.0,6360,65533039,Mucor racemosus B9645,strain,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucorineae;Mucoraceae;Mucor;Mucor racemosus;Mucor racemosus B9645,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;1344963;34489;4830;4841;1357677,no rank;superkingdom;clade;kingdom;no rank;phylum;subphylum;class;order;suborder;family;genus;species;strain
95486.0,47,61139727,Burkholderia cenocepacia,species,cellular organisms;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia cepacia complex;Burkholderia cenocepacia,131567;2;1224;28216;80840;119060;32008;87882;95486,no rank;superkingdom;phylum;class;order;family;genus;species group;species
85698.0,19,60569573,Achromobacter xylosoxidans,species,cellular organisms;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;Achromobacter xylosoxidans,131567;2;1224;28216;80840;506;222;85698,no rank;superkingdom;phylum;class;order;family;genus;species
169388.0,19,59379714,Fusarium solani,species,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Nectriaceae;Fusarium;Fusarium solani species complex;Fusarium solani,131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147550;222543;5125;110618;5506;232080;169388,no rank;superkingdom;clade;kingdom;subkingdom;phylum;clade;subphylum;clade;clade;class;subclass;order;family;genus;species group;species
1195481.0,10557,54179589,Circinella minor,species,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Lichtheimiaceae;Circinella;Circinella minor,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;499202;101102;1195481,no rank;superkingdom;clade;kingdom;no rank;phylum;subphylum;class;order;family;genus;species
5480.0,57,53157029,Candida parapsilosis,species,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Pichiomycetes;Serinales;Debaryomycetaceae;Candida/Lodderomyces clade;Candida;Candida parapsilosis,131567;2759;33154;4751;451864;4890;716545;147537;3239874;2916678;766764;1535325;5475;5480,no rank;superkingdom;clade;kingdom;subkingdom;phylum;clade;subphylum;class;order;family;clade;genus;species
1396.0,34,52013173,Bacillus cereus,species,cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus group;Bacillus cereus,131567;2;1783272;1239;91061;1385;186817;1386;86661;1396,no rank;superkingdom;clade;phylum;class;order;family;genus;species group;species
4840.0,753,51020084,Rhizomucor pusillus,species,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Lichtheimiaceae;Rhizomucor;Rhizomucor pusillus,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;499202;4838;4840,no rank;superkingdom;clade;kingdom;no rank;phylum;subphylum;class;order;family;genus;species
660027.0,12,50358849,Fusarium oxysporum Fo47,strain,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Nectriaceae;Fusarium;Fusarium oxysporum species complex;Fusarium oxysporum;Fusarium oxysporum Fo47,131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147550;222543;5125;110618;5506;171631;5507;660027,no rank;superkingdom;clade;kingdom;subkingdom;phylum;clade;subphylum;clade;clade;class;subclass;order;family;genus;species group;species;strain
4829.0,5338,48746359,Absidia glauca,species,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Cunninghamellaceae;Absidia;Absidia glauca,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;4851;4828;4829,no rank;superkingdom;clade;kingdom;no rank;phylum;subphylum;class;order;family;genus;species
571.0,326,48711067,Klebsiella oxytoca,species,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella oxytoca,131567;2;1224;1236;91347;543;2890311;570;571,no rank;superkingdom;phylum;class;order;family;no rank;genus;species
97098.0,5701,48371435,Mucor plumbeus,species,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucorineae;Mucoraceae;Mucor;Mucor plumbeus,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;1344963;34489;4830;97098,no rank;superkingdom;clade;kingdom;no rank;phylum;subphylum;class;order;suborder;family;genus;species
633.0,144,48095053,Yersinia pseudotuberculosis,species,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;Yersinia pseudotuberculosis complex;Yersinia pseudotuberculosis,131567;2;1224;1236;91347;1903411;629;1649845;633,no rank;superkingdom;phylum;class;order;family;genus;species group;species
623.0,52,48053744,Shigella flexneri,species,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri,131567;2;1224;1236;91347;543;620;623,no rank;superkingdom;phylum;class;order;family;genus;species
548.0,23,47738785,Klebsiella aerogenes,species,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella aerogenes,131567;2;1224;1236;91347;543;2890311;570;548,no rank;superkingdom;phylum;class;order;family;no rank;genus;species
90262.0,94,47422896,Absidia repens,species,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Cunninghamellaceae;Absidia;Absidia repens,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;4851;4828;90262,no rank;superkingdom;clade;kingdom;no rank;phylum;subphylum;class;order;family;genus;species
246409.0,83,46148878,Rhizopus delemar RA 99-880,strain,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucorineae;Rhizopodaceae;Rhizopus;Rhizopus delemar;Rhizopus delemar RA 99-880,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;1344963;1344955;4842;936053;246409,no rank;superkingdom;clade;kingdom;no rank;phylum;subphylum;class;order;suborder;family;genus;species;strain
6248.0,9,44372495,Strongyloides stercoralis,species,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Tylenchina;Panagrolaimomorpha;Strongyloidoidea;Strongyloididae;Strongyloides;Strongyloides stercoralis,131567;2759;33154;33208;6072;33213;33317;1206794;6231;119089;6236;6300;2082223;2082224;6246;6247;6248,no rank;superkingdom;clade;kingdom;clade;clade;clade;clade;phylum;class;order;suborder;infraorder;superfamily;family;genus;species
563466.0,176,43437139,Scedosporium apiospermum,species,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Microascales;Microascaceae;Scedosporium;Scedosporium apiospermum,131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147550;222543;5592;5593;41687;563466,no rank;superkingdom;clade;kingdom;subkingdom;phylum;clade;subphylum;clade;clade;class;subclass;order;family;genus;species
64495.0,4566,42900422,Rhizopus arrhizus,species,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucorineae;Rhizopodaceae;Rhizopus;Rhizopus arrhizus,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;1344963;1344955;4842;64495,no rank;superkingdom;clade;kingdom;no rank;phylum;subphylum;class;order;suborder;family;genus;species
670.0,25,41456556,Vibrio parahaemolyticus,species,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio harveyi group;Vibrio parahaemolyticus,131567;2;1224;1236;135623;641;662;717610;670,no rank;superkingdom;phylum;class;order;family;genus;species group;species
91626.0,1283,40737472,Mucor ambiguus,species,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucorineae;Mucoraceae;Mucor;Mucor ambiguus,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;1344963;34489;4830;91626,no rank;superkingdom;clade;kingdom;no rank;phylum;subphylum;class;order;suborder;family;genus;species
67351.0,22,40473119,Streptomyces californicus,species,cellular organisms;Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces californicus,131567;2;1783272;201174;1760;85011;2062;1883;67351,no rank;superkingdom;clade;phylum;class;order;family;genus;species
1357679.0,3117,39797221,Mucor indicus B7402,strain,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucorineae;Mucoraceae;Mucor;Mucor indicus;Mucor indicus B7402,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;1344963;34489;4830;64623;1357679,no rank;superkingdom;clade;kingdom;no rank;phylum;subphylum;class;order;suborder;family;genus;species;strain
760013.0,411,39322312,Apophysomyces variabilis,species,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucorineae;Mucoraceae;Apophysomyces;Apophysomyces variabilis,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;1344963;34489;90268;760013,no rank;superkingdom;clade;kingdom;no rank;phylum;subphylum;class;order;suborder;family;genus;species
64648.0,5146,39171786,Mucor saturninus,species,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucorineae;Mucoraceae;Mucor;Mucor saturninus,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;1344963;34489;4830;64648,no rank;superkingdom;clade;kingdom;no rank;phylum;subphylum;class;order;suborder;family;genus;species
158836.0,15,39028823,Enterobacter hormaechei,species,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae complex;Enterobacter hormaechei,131567;2;1224;1236;91347;543;547;354276;158836,no rank;superkingdom;phylum;class;order;family;genus;species group;species
86630.0,5775,39022965,Rhizopus azygosporus,species,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucorineae;Rhizopodaceae;Rhizopus;Rhizopus azygosporus,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;1344963;1344955;4842;86630,no rank;superkingdom;clade;kingdom;no rank;phylum;subphylum;class;order;suborder;family;genus;species
1428.0,118,38876155,Bacillus thuringiensis,species,cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus group;Bacillus thuringiensis,131567;2;1783272;1239;91061;1385;186817;1386;86661;1428,no rank;superkingdom;clade;phylum;class;order;family;genus;species group;species
545.0,28,38611123,Citrobacter koseri,species,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter koseri,131567;2;1224;1236;91347;543;544;545,no rank;superkingdom;phylum;class;order;family;genus;species
1274791.0,1528,38467560,Apophysomyces elegans B7760,strain,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucorineae;Mucoraceae;Apophysomyces;Apophysomyces elegans;Apophysomyces elegans B7760,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;1344963;34489;90268;90269;1274791,no rank;superkingdom;clade;kingdom;no rank;phylum;subphylum;class;order;suborder;family;genus;species;strain
1274793.0,5567,38025998,Rhizopus stolonifer B9770,strain,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucorineae;Rhizopodaceae;Rhizopus;Rhizopus stolonifer;Rhizopus stolonifer B9770,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;1344963;1344955;4842;4846;1274793,no rank;superkingdom;clade;kingdom;no rank;phylum;subphylum;class;order;suborder;family;genus;species;strain
5059.0,8,37749288,Aspergillus flavus,species,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus subgen. Circumdati;Aspergillus flavus,131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451871;5042;1131492;5052;2720871;5059,no rank;superkingdom;clade;kingdom;subkingdom;phylum;clade;subphylum;clade;class;subclass;order;family;genus;subgenus;species
29924.0,24,36817399,Mucor lusitanicus,species,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucorineae;Mucoraceae;Mucor;Mucor lusitanicus,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;1344963;34489;4830;29924,no rank;superkingdom;clade;kingdom;no rank;phylum;subphylum;class;order;suborder;family;genus;species
1442370.0,60,36722552,Cladophialophora bantiana CBS 173.52,strain,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Chaetothyriomycetidae;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;Cladophialophora bantiana;Cladophialophora bantiana CBS 173.52,131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451870;34395;43219;82105;89940;1442370,no rank;superkingdom;clade;kingdom;subkingdom;phylum;clade;subphylum;clade;class;subclass;order;family;genus;species;strain
36080.0,401,36616466,Mucor circinelloides,species,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucorineae;Mucoraceae;Mucor;Mucor circinelloides,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;1344963;34489;4830;36080,no rank;superkingdom;clade;kingdom;no rank;phylum;subphylum;class;order;suborder;family;genus;species
1274784.0,2411,35852029,Mucor velutinosus B5328,strain,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucorineae;Mucoraceae;Mucor;Mucor velutinosus;Mucor velutinosus B5328,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;1344963;34489;4830;708070;1274784,no rank;superkingdom;clade;kingdom;no rank;phylum;subphylum;class;order;suborder;family;genus;species;strain
1274790.0,1400,35840759,Apophysomyces trapeziformis B9324,strain,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucorineae;Mucoraceae;Apophysomyces;Apophysomyces trapeziformis;Apophysomyces trapeziformis B9324,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;1344963;34489;90268;679948;1274790,no rank;superkingdom;clade;kingdom;no rank;phylum;subphylum;class;order;suborder;family;genus;species;strain
5061.0,25,35806243,Aspergillus niger,species,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus subgen. Circumdati;Aspergillus niger,131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451871;5042;1131492;5052;2720871;5061,no rank;superkingdom;clade;kingdom;subkingdom;phylum;clade;subphylum;clade;class;subclass;order;family;genus;subgenus;species
1442368.0,11,34688880,Fonsecaea pedrosoi CBS 271.37,strain,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Chaetothyriomycetidae;Chaetothyriales;Herpotrichiellaceae;Fonsecaea;Fonsecaea pedrosoi;Fonsecaea pedrosoi CBS 271.37,131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451870;34395;43219;40354;40355;1442368,no rank;superkingdom;clade;kingdom;subkingdom;phylum;clade;subphylum;clade;class;subclass;order;family;genus;species;strain
